datetime,portfolio_value,cash,positions,return
2024-01-09 09:30:00-05:00,100454.31651757812,50436.09703515625,"[{'asset': USD, 'quantity': 50436.09703515625}, {'asset': SPY, 'quantity': 106.0}]",0.0036431355602175586
2024-01-10 09:30:00-05:00,100697.05742333984,50436.09703515625,"[{'asset': USD, 'quantity': 50436.09703515625}, {'asset': SPY, 'quantity': 106.0}]",0.002416430813296566
2024-01-11 09:30:00-05:00,101060.63664697265,50436.09703515625,"[{'asset': USD, 'quantity': 50436.09703515625}, {'asset': SPY, 'quantity': 106.0}]",0.0036106241129201244
2024-01-12 09:30:00-05:00,101087.13664697265,50436.09703515625,"[{'asset': USD, 'quantity': 50436.09703515625}, {'asset': SPY, 'quantity': 106.0}]",0.00026221881119314894
2024-01-13 09:30:00-05:00,101087.13664697265,50436.09703515625,"[{'asset': USD, 'quantity': 50436.09703515625}, {'asset': SPY, 'quantity': 106.0}]",0.0
2024-01-13 09:29:00-05:00,101087.13664697265,50436.09703515625,"[{'asset': USD, 'quantity': 50436.09703515625}, {'asset': SPY, 'quantity': 106.0}]",0.0
2024-01-16 08:30:00-05:00,100813.6580703125,50436.09703515625,"[{'asset': USD, 'quantity': 50436.09703515625}, {'asset': SPY, 'quantity': 106.0}]",-0.002705374647372083
2024-01-16 09:30:00-05:00,100813.6580703125,50436.09703515625,"[{'asset': USD, 'quantity': 50436.09703515625}, {'asset': SPY, 'quantity': 106.0}]",0.0
2024-01-16 09:30:00-05:00,100813.6580703125,50436.09703515625,"[{'asset': USD, 'quantity': 50436.09703515625}, {'asset': SPY, 'quantity': 106.0}]",0.0
2024-01-17 09:30:00-05:00,100449.01781152343,50436.09703515625,"[{'asset': USD, 'quantity': 50436.09703515625}, {'asset': SPY, 'quantity': 106.0}]",-0.003616972796828266
2024-01-18 09:30:00-05:00,100681.1580703125,50436.09703515625,"[{'asset': USD, 'quantity': 50436.09703515625}, {'asset': SPY, 'quantity': 106.0}]",0.002311025670999056
