datetime,portfolio_value,cash,positions,return
2024-01-12 09:30:00-05:00,98072.51824951172,225177.95727539062,"[{'asset': USD, 'quantity': 225177.95727539062}, {'asset': SPY, 'quantity': -266.0}]",-0.0006776102022024721
2024-01-13 09:30:00-05:00,98072.51824951172,225177.95727539062,"[{'asset': USD, 'quantity': 225177.95727539062}, {'asset': SPY, 'quantity': -266.0}]",0.0
2024-01-13 09:29:00-05:00,98072.51824951172,225177.95727539062,"[{'asset': USD, 'quantity': 225177.95727539062}, {'asset': SPY, 'quantity': -266.0}]",0.0
2024-01-16 08:30:00-05:00,98758.79467773438,225177.95727539062,"[{'asset': USD, 'quantity': 225177.95727539062}, {'asset': SPY, 'quantity': -266.0}]",0.006997642565643725
2024-01-16 09:30:00-05:00,98758.79467773438,225177.95727539062,"[{'asset': USD, 'quantity': 225177.95727539062}, {'asset': SPY, 'quantity': -266.0}]",0.0
2024-01-16 09:30:00-05:00,98758.79467773438,225177.95727539062,"[{'asset': USD, 'quantity': 225177.95727539062}, {'asset': SPY, 'quantity': -266.0}]",0.0
2024-01-17 09:30:00-05:00,99673.83532714844,225177.95727539062,"[{'asset': USD, 'quantity': 225177.95727539062}, {'asset': SPY, 'quantity': -266.0}]",0.009265409246842049
2024-01-18 09:30:00-05:00,98567.88409423828,337942.9390258789,"[{'asset': USD, 'quantity': 337942.9390258789}, {'asset': SPY, 'quantity': -505.0}]",-0.011095702591158552
2024-01-19 09:30:00-05:00,96729.6921081543,337942.9390258789,"[{'asset': USD, 'quantity': 337942.9390258789}, {'asset': SPY, 'quantity': -505.0}]",-0.01864899508572726
2024-01-20 09:30:00-05:00,96729.6921081543,337942.9390258789,"[{'asset': USD, 'quantity': 337942.9390258789}, {'asset': SPY, 'quantity': -505.0}]",0.0
2024-01-20 09:29:00-05:00,96729.6921081543,337942.9390258789,"[{'asset': USD, 'quantity': 337942.9390258789}, {'asset': SPY, 'quantity': -505.0}]",0.0
2024-01-22 08:30:00-05:00,93517.88409423828,337942.9390258789,"[{'asset': USD, 'quantity': 337942.9390258789}, {'asset': SPY, 'quantity': -505.0}]",-0.03320395158835887
2024-01-22 09:30:00-05:00,93517.88409423828,337942.9390258789,"[{'asset': USD, 'quantity': 337942.9390258789}, {'asset': SPY, 'quantity': -505.0}]",0.0
2024-01-22 09:30:00-05:00,93517.88409423828,337942.9390258789,"[{'asset': USD, 'quantity': 337942.9390258789}, {'asset': SPY, 'quantity': -505.0}]",0.0
2024-01-23 09:30:00-05:00,93517.88409423828,337942.9390258789,"[{'asset': USD, 'quantity': 337942.9390258789}, {'asset': SPY, 'quantity': -505.0}]",0.0
2024-01-24 09:30:00-05:00,91598.89025878906,337942.9390258789,"[{'asset': USD, 'quantity': 337942.9390258789}, {'asset': SPY, 'quantity': -505.0}]",-0.020520073289034713
2024-01-25 09:30:00-05:00,91715.04580688477,337942.9390258789,"[{'asset': USD, 'quantity': 337942.9390258789}, {'asset': SPY, 'quantity': -505.0}]",0.0012680890321654648
2024-01-26 09:30:00-05:00,91709.99087524414,337942.9390258789,"[{'asset': USD, 'quantity': 337942.9390258789}, {'asset': SPY, 'quantity': -505.0}]",-5.5115620301471324e-05
2024-01-27 09:30:00-05:00,91709.99087524414,337942.9390258789,"[{'asset': USD, 'quantity': 337942.9390258789}, {'asset': SPY, 'quantity': -505.0}]",0.0
2024-01-27 09:29:00-05:00,91709.99087524414,337942.9390258789,"[{'asset': USD, 'quantity': 337942.9390258789}, {'asset': SPY, 'quantity': -505.0}]",0.0
2024-01-29 08:30:00-05:00,91639.2834777832,337942.9390258789,"[{'asset': USD, 'quantity': 337942.9390258789}, {'asset': SPY, 'quantity': -505.0}]",-0.0007709890360486638
2024-01-29 09:30:00-05:00,91639.2834777832,337942.9390258789,"[{'asset': USD, 'quantity': 337942.9390258789}, {'asset': SPY, 'quantity': -505.0}]",0.0
