time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-12-15 09:30:00-05:00,MLTrader,043e2d6db40d4760a5b60373cb0949ff,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-12-15 09:30:00-05:00,MLTrader,043e2d6db40d4760a5b60373cb0949ff,SPY,buy,market,fill,1,gtc,0.0,1,stock,469.489990234375,106.0,0.0
2024-07-11 09:30:00-04:00,MLTrader,c6437377e5ac4882851605d3708db6bb,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2024-07-11 09:30:00-04:00,MLTrader,5d105745db8e4dd7967e5c5be492ef14,SPY,sell,limit,fill,1,day,0.0,1,stock,563.3879882812499,106.0,0.0
